setting,target,budget,arm,n,detect,lo,hi,mean_iters
llama-2-13b-chat,llama-2-13b-chat,1000,STATIC-d1,50,0.22,0.12,0.36,200.0
llama-2-13b-chat,llama-2-13b-chat,2500,FIXED-SPLIT,50,0.94,0.86,1.0,114.62
llama-2-13b-chat,llama-2-13b-chat,2500,LADDER,50,0.86,0.76,0.96,47.58
llama-2-13b-chat,llama-2-13b-chat,2500,ORACLE,50,0.98,0.94,1.0,139.34
llama-2-13b-chat,llama-2-13b-chat,2500,STATIC-d0,50,0.98,0.94,1.0,139.34
llama-2-13b-chat,llama-2-13b-chat,2500,STATIC-d1,50,0.22,0.12,0.36,200.0
llama-2-13b-chat,llama-2-13b-chat,5000,FIXED-SPLIT,50,0.98,0.94,1.0,146.02
llama-2-13b-chat,llama-2-13b-chat,5000,LADDER,50,0.86,0.76,0.96,47.58
llama-2-13b-chat,llama-2-13b-chat,5000,ORACLE,50,1.0,1.0,1.0,172.18
llama-2-13b-chat,llama-2-13b-chat,5000,STATIC-d0,50,1.0,1.0,1.0,172.18
llama-2-13b-chat,llama-2-13b-chat,5000,STATIC-d1,50,0.22,0.12,0.36,200.0
llama-2-13b-chat,llama-2-13b-chat,10000,FIXED-SPLIT,50,1.0,1.0,1.0,172.18
llama-2-13b-chat,llama-2-13b-chat,10000,LADDER,50,0.86,0.76,0.96,47.58
llama-2-13b-chat,llama-2-13b-chat,10000,ORACLE,50,1.0,1.0,1.0,172.18
llama-2-13b-chat,llama-2-13b-chat,10000,STATIC-d0,50,1.0,1.0,1.0,172.18
llama-2-13b-chat,llama-2-13b-chat,10000,STATIC-d1,50,0.22,0.12,0.36,200.0
