model,budget,arm,mean,lo,hi
gpt-4-0125-preview,300,STATIC-single-method,0.30833333333333335,0.27199166666666663,0.345205
gpt-4-0125-preview,400,ADAPTIVE-escal+thompson,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,400,ADAPTIVE-escalation,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,400,ADAPTIVE-succ-halving,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,400,ADAPTIVE-thompson,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,400,ORACLE,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,400,STATIC-best-method(oracle),0.7800000000000001,0.7800000000000001,0.7800000000000001
gpt-4-0125-preview,400,STATIC-round-robin,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,400,STATIC-single-method,0.30833333333333335,0.27199166666666663,0.345205
gpt-4-0125-preview,500,ADAPTIVE-escal+thompson,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,500,ADAPTIVE-escalation,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,500,ADAPTIVE-succ-halving,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,500,ADAPTIVE-thompson,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,500,ORACLE,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,500,STATIC-best-method(oracle),0.7800000000000001,0.7800000000000001,0.7800000000000001
gpt-4-0125-preview,500,STATIC-round-robin,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,500,STATIC-single-method,0.30833333333333335,0.27199166666666663,0.345205
llama-2-7b-chat-hf,25,ADAPTIVE-escal+thompson,0.19293333333333332,0.19056499999999998,0.1949675
llama-2-7b-chat-hf,25,ADAPTIVE-escalation,0.23579999999999998,0.23463333333333328,0.2369666666666667
llama-2-7b-chat-hf,25,ADAPTIVE-succ-halving,0.19083333333333333,0.1885325,0.19289999999999996
llama-2-7b-chat-hf,25,ADAPTIVE-thompson,0.1879,0.18546666666666664,0.18996666666666664
llama-2-7b-chat-hf,25,ORACLE,0.25,0.25,0.25
llama-2-7b-chat-hf,25,STATIC-best-method(oracle),0.23579999999999998,0.23463333333333328,0.2369666666666667
llama-2-7b-chat-hf,25,STATIC-round-robin,0.23579999999999998,0.23463333333333328,0.2369666666666667
llama-2-7b-chat-hf,25,STATIC-single-method,0.10113333333333333,0.08806666666666665,0.11396999999999999
llama-2-7b-chat-hf,50,ADAPTIVE-escal+thompson,0.41566666666666674,0.4128,0.41810083333333337
llama-2-7b-chat-hf,50,ADAPTIVE-escalation,0.47096666666666653,0.4697,0.4722675
llama-2-7b-chat-hf,50,ADAPTIVE-succ-halving,0.34869999999999995,0.34633249999999993,0.3508008333333334
llama-2-7b-chat-hf,50,ADAPTIVE-thompson,0.3896333333333334,0.38620000000000004,0.392835
llama-2-7b-chat-hf,50,ORACLE,0.5,0.5,0.5
llama-2-7b-chat-hf,50,STATIC-best-method(oracle),0.47096666666666653,0.4697,0.4722675
llama-2-7b-chat-hf,50,STATIC-round-robin,0.47096666666666653,0.4697,0.4722675
llama-2-7b-chat-hf,50,STATIC-single-method,0.20273333333333332,0.17669749999999998,0.22846833333333333
llama-2-7b-chat-hf,100,ADAPTIVE-escal+thompson,0.8641666666666666,0.8613333333333333,0.8667349999999999
llama-2-7b-chat-hf,100,ADAPTIVE-escalation,0.9399999999999996,0.9399999999999996,0.9399999999999996
llama-2-7b-chat-hf,100,ADAPTIVE-succ-halving,0.6367999999999999,0.6339333333333333,0.6395008333333333
llama-2-7b-chat-hf,100,ADAPTIVE-thompson,0.7553666666666667,0.746965,0.7627683333333333
llama-2-7b-chat-hf,100,ORACLE,0.96,0.96,0.96
llama-2-7b-chat-hf,100,STATIC-best-method(oracle),0.9399999999999996,0.9399999999999996,0.9399999999999996
llama-2-7b-chat-hf,100,STATIC-round-robin,0.9399999999999996,0.9399999999999996,0.9399999999999996
llama-2-7b-chat-hf,100,STATIC-single-method,0.40426666666666666,0.3525866666666667,0.45485166666666665
llama-2-7b-chat-hf,150,ADAPTIVE-escal+thompson,0.96,0.96,0.96
llama-2-7b-chat-hf,150,ADAPTIVE-escalation,0.96,0.96,0.96
llama-2-7b-chat-hf,150,ADAPTIVE-succ-halving,0.8497000000000001,0.8473983333333333,0.8520666666666666
llama-2-7b-chat-hf,150,ADAPTIVE-thompson,0.9296333333333333,0.9262666666666667,0.9328341666666667
llama-2-7b-chat-hf,150,ORACLE,0.96,0.96,0.96
llama-2-7b-chat-hf,150,STATIC-best-method(oracle),0.9399999999999996,0.9399999999999996,0.9399999999999996
llama-2-7b-chat-hf,150,STATIC-round-robin,0.9399999999999996,0.9399999999999996,0.9399999999999996
llama-2-7b-chat-hf,150,STATIC-single-method,0.40426666666666666,0.3525866666666667,0.45485166666666665
llama-2-7b-chat-hf,200,ADAPTIVE-escal+thompson,0.96,0.96,0.96
llama-2-7b-chat-hf,200,ADAPTIVE-escalation,0.96,0.96,0.96
llama-2-7b-chat-hf,200,ADAPTIVE-succ-halving,0.9460333333333335,0.9448,0.9472341666666665
llama-2-7b-chat-hf,200,ADAPTIVE-thompson,0.9584333333333332,0.958,0.9588333333333332
llama-2-7b-chat-hf,200,ORACLE,0.96,0.96,0.96
llama-2-7b-chat-hf,200,STATIC-best-method(oracle),0.9399999999999996,0.9399999999999996,0.9399999999999996
llama-2-7b-chat-hf,200,STATIC-round-robin,0.9399999999999996,0.9399999999999996,0.9399999999999996
llama-2-7b-chat-hf,200,STATIC-single-method,0.40426666666666666,0.3525866666666667,0.45485166666666665
llama-2-7b-chat-hf,300,ADAPTIVE-escal+thompson,0.96,0.96,0.96
llama-2-7b-chat-hf,300,ADAPTIVE-escalation,0.96,0.96,0.96
llama-2-7b-chat-hf,300,ADAPTIVE-succ-halving,0.9538666666666665,0.953,0.9546999999999999
llama-2-7b-chat-hf,300,ADAPTIVE-thompson,0.96,0.96,0.96
llama-2-7b-chat-hf,300,ORACLE,0.96,0.96,0.96
llama-2-7b-chat-hf,300,STATIC-best-method(oracle),0.9399999999999996,0.9399999999999996,0.9399999999999996
llama-2-7b-chat-hf,300,STATIC-round-robin,0.9399999999999996,0.9399999999999996,0.9399999999999996
llama-2-7b-chat-hf,300,STATIC-single-method,0.40426666666666666,0.3525866666666667,0.45485166666666665
llama-2-7b-chat-hf,400,ADAPTIVE-escal+thompson,0.96,0.96,0.96
llama-2-7b-chat-hf,400,ADAPTIVE-escalation,0.96,0.96,0.96
llama-2-7b-chat-hf,400,ADAPTIVE-succ-halving,0.9586333333333332,0.9581999999999999,0.9590008333333333
llama-2-7b-chat-hf,400,ADAPTIVE-thompson,0.96,0.96,0.96
llama-2-7b-chat-hf,400,ORACLE,0.96,0.96,0.96
llama-2-7b-chat-hf,400,STATIC-best-method(oracle),0.9399999999999996,0.9399999999999996,0.9399999999999996
llama-2-7b-chat-hf,400,STATIC-round-robin,0.9399999999999996,0.9399999999999996,0.9399999999999996
llama-2-7b-chat-hf,400,STATIC-single-method,0.40426666666666666,0.3525866666666667,0.45485166666666665
llama-2-7b-chat-hf,500,ADAPTIVE-escal+thompson,0.96,0.96,0.96
llama-2-7b-chat-hf,500,ADAPTIVE-escalation,0.96,0.96,0.96
llama-2-7b-chat-hf,500,ADAPTIVE-succ-halving,0.96,0.96,0.96
llama-2-7b-chat-hf,500,ADAPTIVE-thompson,0.96,0.96,0.96
llama-2-7b-chat-hf,500,ORACLE,0.96,0.96,0.96
llama-2-7b-chat-hf,500,STATIC-best-method(oracle),0.9399999999999996,0.9399999999999996,0.9399999999999996
llama-2-7b-chat-hf,500,STATIC-round-robin,0.96,0.96,0.96
llama-2-7b-chat-hf,500,STATIC-single-method,0.40426666666666666,0.3525866666666667,0.45485166666666665
vicuna-13b-v1.5,25,ADAPTIVE-escal+thompson,0.21466666666666664,0.21280000000000002,0.2165008333333333
vicuna-13b-v1.5,25,ADAPTIVE-escalation,0.23813333333333334,0.23709999999999998,0.23923333333333333
vicuna-13b-v1.5,25,ADAPTIVE-succ-halving,0.21150000000000002,0.2094666666666667,0.21333416666666669
vicuna-13b-v1.5,25,ADAPTIVE-thompson,0.20066666666666666,0.19846666666666665,0.20256666666666664
vicuna-13b-v1.5,25,ORACLE,0.25,0.25,0.25
vicuna-13b-v1.5,25,STATIC-best-method(oracle),0.23813333333333334,0.23709999999999998,0.23923333333333333
vicuna-13b-v1.5,25,STATIC-round-robin,0.23813333333333334,0.23709999999999998,0.23923333333333333
vicuna-13b-v1.5,25,STATIC-single-method,0.21343333333333334,0.2102,0.21649999999999997
vicuna-13b-v1.5,50,ADAPTIVE-escal+thompson,0.43379999999999996,0.4312325,0.4362016666666667
vicuna-13b-v1.5,50,ADAPTIVE-escalation,0.47596666666666665,0.47489916666666654,0.4772341666666666
vicuna-13b-v1.5,50,ADAPTIVE-succ-halving,0.38926666666666665,0.38656583333333333,0.3918666666666667
vicuna-13b-v1.5,50,ADAPTIVE-thompson,0.3801333333333333,0.37703333333333333,0.3830341666666667
vicuna-13b-v1.5,50,ORACLE,0.5,0.5,0.5
vicuna-13b-v1.5,50,STATIC-best-method(oracle),0.47596666666666665,0.47489916666666654,0.4772341666666666
vicuna-13b-v1.5,50,STATIC-round-robin,0.47596666666666665,0.47489916666666654,0.4772341666666666
